dataset,drift_type,attack_type,attack_ratio,accuracy,rlr
SEA,gradual,clean,-,0.9343,-
SEA,gradual,instance,0.05,0.8927,0.9554746869
SEA,gradual,instance,0.1,0.8404,0.8994969496
SEA,gradual,instance,0.15,0.7913,0.8469442363
SEA,gradual,instance,0.2,0.7602,0.8136572835
SEA,gradual,instance,0.25,0.7068,0.7565021942
SEA,sudden,clean,-,0.9545,-
SEA,sudden,instance,0.05,0.897,0.9397590361
SEA,sudden,instance,0.1,0.8291,0.8686223153
SEA,sudden,instance,0.15,0.7959,0.8338397067
SEA,sudden,instance,0.2,0.7459,0.7814562598
SEA,sudden,instance,0.25,0.7044,0.737977999
SEA,recurrent,clean,-,0.9485,-
SEA,recurrent,instance,0.05,0.8929,0.9413811281
SEA,recurrent,instance,0.1,0.8351,0.8804428044
SEA,recurrent,instance,0.15,0.8018,0.8453347391
SEA,recurrent,instance,0.2,0.7493,0.7899841856
SEA,recurrent,instance,0.25,0.703,0.7411702688
SEA,gradual,concept,1,0.9042,0.968924132
SEA,gradual,concept,2,0.8607,0.92231033
SEA,gradual,concept,3,0.8351,0.8948778397
SEA,gradual,concept,4,0.7633,0.8179382769
SEA,gradual,concept,5,0.7132,0.764252036
SEA,sudden,concept,1,0.9103,0.953593128
SEA,sudden,concept,2,0.8386,0.8784831343
SEA,sudden,concept,3,0.8605,0.9014246805
SEA,sudden,concept,4,0.7706,0.8072491096
SEA,sudden,concept,5,0.7112,0.7450240939
SEA,recurrent,concept,1,0.9318,0.9751962323
SEA,recurrent,concept,2,0.8494,0.8889586604
SEA,recurrent,concept,3,0.8413,0.8804814233
SEA,recurrent,concept,4,0.7581,0.7934065934
SEA,recurrent,concept,5,0.7222,0.7558346415
SEA,gradual,incremental,-,0.8198,0.8702760085
SEA,sudden,incremental,-,0.8173,0.8582379502
SEA,recurrent,incremental,-,0.8179,0.857068008
